timestamp,frame,id,state,score,bbox
1756836135.6572733,81,0,distracted,82,"(329, 87, 1140, 714)"
1756836135.7091434,82,0,distracted,81,"(339, 90, 1144, 710)"
1756836135.7844083,83,0,distracted,80,"(328, 89, 1134, 714)"
1756836135.848027,84,0,distracted,79,"(328, 89, 1134, 714)"
1756836135.9174464,85,0,distracted,78,"(324, 89, 1139, 716)"
1756836135.999486,86,0,distracted,77,"(327, 94, 1146, 713)"
1756836136.0634162,87,0,distracted,76,"(325, 89, 1137, 715)"
1756836136.1556416,88,0,distracted,75,"(325, 89, 1137, 715)"
1756836136.2375557,89,0,distracted,74,"(334, 94, 1137, 714)"
1756836136.3096237,90,0,distracted,73,"(325, 90, 1142, 715)"
1756836136.4287772,91,0,distracted,72,"(325, 90, 1142, 715)"
1756836136.4870815,92,0,distracted,71,"(320, 96, 1142, 714)"
1756836136.5494328,93,0,distracted,70,"(318, 91, 1144, 717)"
1756836136.6212516,94,0,distracted,69,"(318, 91, 1144, 717)"
1756836136.699967,95,0,distracted,68,"(324, 94, 1139, 714)"
1756836136.7699225,96,0,distracted,67,"(471, 100, 1176, 711)"
1756836136.8596306,97,0,attentive,68,"(448, 102, 1143, 712)"
1756836136.9315171,98,0,attentive,69,"(448, 102, 1143, 712)"
1756836137.049588,99,0,attentive,70,"(417, 106, 1130, 709)"
1756836137.143571,100,0,attentive,71,"(432, 102, 1158, 709)"
1756836137.2608786,101,0,attentive,72,"(422, 94, 1138, 710)"
